AI-resistance performance of quizzes generated through different means
======================================================================

We gave ChatGPT-4o the following article:
https://afrolanews.org/2023/02/opioid-addiction-recovery-providers-favor-individual-centered-treatment-options-for-black-women/
and then asked it to solve 10-part multiple-choice quizzes generated by quiz apps QuizGecko, Arlinear, and QuestGen.ai, as well as a human-made one ("Manual editing").

For each quiz, we applied a strategy ("w/ strategy") of swapping out in each question the correct answer to "None of these answers".

We ran 40 rounds of tests, this is how many mistakes ChatGPT-4o made each round out of the 10 questions. (Note: The more mistakes ChatGPT-4o makes, the more resistant to "AI" the quiz is.)


|------------+----------------+----------------------------+-----------+-----------------------+----------+----------------------+-------------+-------------------------|
| Test round | Manual editing | Manual editing w/ strategy | QuizGecko | QuizGecko w/ strategy | Arlinear | Arlinear w/ strategy | QuestGen.ai | QuestGen.ai w/ strategy |
|------------+----------------+----------------------------+-----------+-----------------------+----------+----------------------+-------------+-------------------------|
|          1 |              1 |                          4 |         0 |                     1 |        0 |                    0 |           0 |                       4 |
|          2 |              2 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       2 |
|          3 |              2 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|          4 |              2 |                          7 |         0 |                     2 |        0 |                    0 |           0 |                       0 |
|          5 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|          6 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|          7 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|          8 |              3 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|          9 |              2 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         10 |              3 |                          7 |         0 |                     3 |        0 |                    0 |           0 |                       2 |
|         11 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       2 |
|         12 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         13 |              1 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         14 |              3 |                          6 |         0 |                     2 |        0 |                    0 |           0 |                       0 |
|         15 |              2 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       2 |
|         16 |              3 |                          6 |         0 |                     5 |        0 |                    0 |           0 |                       1 |
|         17 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         18 |              2 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         19 |              2 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       1 |
|         20 |              1 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         21 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         22 |              1 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       2 |
|         23 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       2 |
|         24 |              1 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       2 |
|         25 |              3 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       1 |
|         26 |              3 |                          8 |         0 |                     4 |        0 |                    0 |           0 |                       0 |
|         27 |              2 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         28 |              3 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       5 |
|         29 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         30 |              1 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         31 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         32 |              2 |                          7 |         0 |                     2 |        0 |                    0 |           0 |                       0 |
|         33 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         34 |              2 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         35 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         36 |              1 |                          5 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         37 |              1 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         38 |              3 |                          6 |         0 |                     1 |        0 |                    0 |           0 |                       1 |
|         39 |              2 |                          4 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|         40 |              3 |                          7 |         0 |                     1 |        0 |                    0 |           0 |                       0 |
|------------+----------------+----------------------------+-----------+-----------------------+----------+----------------------+-------------+-------------------------|
|    Average |          2.175 |                      5.975 |         0 |                   1.3 |        0 |                    0 |           0 |                   0.675 |
|------------+----------------+----------------------------+-----------+-----------------------+----------+----------------------+-------------+-------------------------|
|  Std. dev. |    0.747217059 |               0.8911962574 |         0 |          0.8533493588 |        0 |                    0 |           0 |             1.185110619 |
|------------+----------------+----------------------------+-----------+-----------------------+----------+----------------------+-------------+-------------------------|
